338165,95940,23.541,48.48,34.011,-1.03751,-1.24687
375866,96879,14.346,65.173,52.162,-1.04326,-1.24632
373003,96752,15.018,53.583,39.014,-1.03654,-1.21844
347620,102600,19.264,48.291,33.077,-1.0292,-1.26528
352292,95983,31.743,48.099,34.001,-1.04003,-1.24027
356730,96059,19.838,45.8,29.713,-1.03374,-1.2196
368360,96742,14.251,59.281,45.606,-1.03507,-1.23194
334980,101865,19.259,47.009,32.216,-1.02263,-1.26024
318371,95674,27.487,43.702,29.97,-1.0216,-1.23885
314333,95645,29.242,42.589,29.762,-1.0315,-1.26459
381973,96242,24.646,51.377,35.571,-1.03715,-1.21252
375110,96490,29.229,46.472,31.107,-1.04031,-1.21823
344035,98490,19.753,48.81,33.217,-1.0329,-1.25858
339985,96611,14.337,62.664,50.517,-1.03758,-1.25984
393525,96242,25.241,52.887,37.116,-1.03977,-1.21561
351461,100040,19.464,50.695,35.725,-1.03247,-1.25567
367847,100968,19.466,52.718,37.173,-1.02451,-1.23383
350455,96696,14.341,63.479,50.869,-1.04436,-1.26235
340734,96203,27.834,41.989,26.953,-1.0289,-1.23466
351692,95965,27.423,46.978,31.523,-1.01908,-1.21657
368103,96097,30.335,48.874,34.056,-1.03693,-1.22349
372398,96496,18.962,50.678,34.37,-1.01878,-1.22422
327573,95752,24.636,43.616,28.86,-1.02997,-1.24408
356325,96021,24.947,48.002,32.518,-1.03167,-1.22664
342336,98408,19.759,48.599,33.018,-1.02688,-1.25605
377428,96274,29.047,52.107,36.824,-1.03196,-1.20456
322341,96000,26.643,39.097,24.451,-1.02988,-1.24298
313933,95714,24.246,41.52,27.466,-1.02659,-1.24847
346121,100690,19.259,49.837,35.274,-1.03104,-1.26165
363959,96714,15.134,52.059,37.858,-1.03965,-1.24292
385100,96291,19.749,49.597,33.363,-1.03344,-1.20889
399532,96332,27.732,53.527,37.67,-1.035,-1.19309
375694,96498,18.854,51,34.722,-1.02095,-1.22881
352350,100248,19.463,50.82,35.814,-1.03184,-1.25284
358636,102796,19.276,49.71,34.123,-1.02709,-1.25069
336177,95837,29.332,44.608,30.409,-1.03807,-1.25782
397523,96893,15.061,55.985,41.255,-1.04456,-1.22535
336821,96180,27.639,41.274,26.357,-1.02743,-1.22793
312267,96055,19.068,41.42,27.572,-1.01581,-1.26612
375850,96158,30.824,49.795,34.86,-1.03945,-1.22407
338837,96206,18.957,45.798,30.521,-1.01489,-1.24858
304373,95573,27.823,40.88,28.759,-1.02884,-1.27986
389541,96274,23.548,55.605,39.815,-1.04131,-1.22124
371069,96053,30.233,49.99,34.325,-1.03691,-1.22954
326403,96416,15.362,48.159,34.763,-1.0269,-1.23739
363254,96112,23.457,51.995,36.505,-1.02674,-1.21351
371004,96164,23.329,53.091,37.374,-1.03374,-1.23073
336611,95864,28.444,46.816,32.24,-1.02635,-1.24202
342230,95912,19.857,43.392,27.965,-1.03102,-1.23093
353240,96003,31.735,48.294,34.161,-1.03949,-1.23923
313407,95979,25.625,37.692,23.309,-1.0286,-1.26432
311779,101590,19.152,43.396,30.172,-1.02694,-1.28443
376882,96203,27.347,50.205,34.46,-1.02361,-1.19124
370594,96114,32.648,50.697,36.114,-1.04369,-1.23842
394182,102547,19.36,54.525,37.778,-1.03461,-1.23095
330850,95817,29.249,44.191,29.271,-1.02746,-1.23612
375780,102001,19.372,52.11,35.867,-1.02683,-1.23558
350669,102649,19.254,48.815,33.423,-1.02778,-1.26256
393282,96414,23.655,56.104,40.367,-1.04299,-1.21601
300844,95535,26.744,39.122,25.87,-1.02076,-1.25501
367717,103094,19.257,51.287,35.072,-1.02195,-1.22963
388146,96278,19.756,49.789,33.613,-1.03721,-1.21111
338001,96480,15.341,49.403,35.765,-1.02803,-1.24513
358474,96006,19.836,45.991,29.868,-1.02473,-1.2115
355711,96049,28.64,49.691,34.476,-1.03244,-1.21973
392083,96615,18.843,53.799,36.868,-1.03044,-1.2253
369664,96724,14.223,59.358,45.713,-1.04272,-1.24391
317669,95632,26.843,41.591,28.004,-1.03013,-1.24893
395712,96900,15.056,55.474,40.961,-1.03785,-1.22493
306896,95548,28.136,41.097,28.956,-1.02099,-1.26747
334799,96124,27.418,41.093,26.063,-1.02649,-1.24797
324419,95724,30.336,43.995,30.909,-1.03134,-1.25839
347101,95953,29.951,45.892,31.571,-1.03765,-1.23525
345977,95958,29.755,46.388,31.117,-1.03088,-1.22667
321089,95762,30.04,43.382,30.566,-1.03221,-1.25937
322441,95692,28.746,43.022,28.421,-1.02976,-1.24455
367596,96748,14.238,59.289,45.56,-1.03777,-1.24981
327445,95771,19.853,41.82,26.568,-1.03517,-1.24338
379707,97616,19.757,54.091,37.368,-1.0267,-1.23573
341667,95890,29.623,45.196,30.912,-1.04221,-1.25057
385939,96266,32.936,52.505,37.867,-1.04302,-1.22524
336176,96517,14.34,57.001,43.813,-1.03148,-1.25929
384742,96850,14.335,60.788,46.655,-1.04616,-1.23679
336227,96598,14.346,62.578,50.405,-1.03558,-1.26113
382530,96302,29.254,52.59,37.42,-1.03331,-1.19614
305258,95585,25.03,39.585,26.86,-1.02286,-1.24573
326030,95796,27.952,45.201,30.816,-1.02537,-1.22901
325053,96473,14.445,61.764,50.015,-1.0372,-1.28064
303748,95648,23.042,42.798,30.414,-1.0353,-1.24568
313663,95625,26.155,40.505,27.614,-1.02477,-1.24056
